Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,48.275002,48.474998,47.055000,47.514999,44.347309,4985800
2015-01-05,47.255001,47.275002,46.564999,46.750000,43.633312,6889200
2015-01-06,46.945000,47.075001,46.035000,46.474998,43.376633,7576000
2015-01-07,46.805000,47.650002,46.549999,47.435001,44.272652,7256000
2015-01-08,47.830002,48.549999,47.810001,48.529999,45.294640,5978200
2015-01-09,48.465000,48.494999,47.799999,47.994999,44.795315,4689000
2015-01-12,47.955002,48.259998,47.615002,47.930000,44.734642,5630800
2015-01-13,48.169998,48.724998,47.314999,47.505001,44.337986,6182200
2015-01-14,46.689999,47.185001,46.455002,46.855000,43.731304,6750400
2015-01-15,47.314999,47.340000,46.285000,46.404999,43.311310,4235000
2015-01-16,46.384998,46.564999,46.014999,46.494999,43.395313,8770000
2015-01-20,46.720001,46.945000,46.310001,46.805000,43.684654,9403800
2015-01-21,46.555000,47.064999,46.505001,46.755001,43.637981,5854000
2015-01-22,47.174999,48.055000,46.779999,47.924999,44.729965,6952400
2015-01-23,48.070000,48.375000,47.825001,48.080002,44.874657,6781000
2015-01-26,48.000000,48.235001,47.775002,48.174999,44.963322,4964000
2015-01-27,47.650002,47.724998,47.060001,47.250000,44.099983,6696800
2015-01-28,47.500000,47.660000,46.625000,46.654999,43.544655,6402600
2015-01-29,46.834999,47.435001,46.584999,47.435001,44.272652,6802400
2015-01-30,46.959999,47.180000,46.049999,46.125000,43.049969,8106400
2015-02-02,46.340000,46.345001,45.384998,45.959999,42.895977,8056600
2015-02-03,46.115002,46.695000,46.014999,46.674999,43.563309,7940200
2015-02-04,46.384998,46.634998,46.134998,46.270000,43.185318,7187400
2015-02-05,46.439999,46.794998,46.279999,46.669998,43.558640,5754400
2015-02-06,46.700001,46.735001,45.770000,45.895000,42.835323,7381800
2015-02-09,45.750000,45.849998,45.345001,45.584999,42.545975,7339400
2015-02-10,45.869999,46.549999,45.610001,46.375000,43.283318,7694600
2015-02-11,46.244999,46.375000,45.474998,45.654999,42.611313,8541000
2015-02-12,45.730000,46.330002,45.400002,46.000000,42.933311,11855800
2015-02-13,46.009998,46.285000,45.950001,46.020000,42.951973,7695600
2015-02-17,45.869999,46.450001,45.860001,45.930000,42.867985,7371000
2015-02-18,45.770000,46.884998,45.715000,46.810001,43.689316,8143800
2015-02-19,46.740002,47.130001,46.740002,46.849998,43.726639,6605200
2015-02-20,46.805000,47.645000,46.674999,47.465000,44.300648,7398000
2015-02-23,47.459999,47.615002,47.139999,47.505001,44.337986,4622200
2015-02-24,47.375000,47.770000,47.375000,47.709999,44.529316,5239200
2015-02-25,47.709999,48.599998,47.709999,48.410000,45.182652,7053600
2015-02-26,48.330002,48.665001,48.325001,48.494999,45.393246,5935000
2015-02-27,48.474998,48.705002,48.314999,48.560001,45.454105,7118600
2015-03-02,48.445000,49.430000,48.375000,49.375000,46.216965,11025000
2015-03-03,49.220001,49.235001,48.560001,48.985001,45.851917,7038400
2015-03-04,48.834999,48.935001,48.480000,48.759998,45.641296,4853000
2015-03-05,48.980000,49.340000,48.895000,49.230000,46.081245,6633600
2015-03-06,49.230000,49.345001,48.299999,48.455002,45.355816,7174600
2015-03-09,48.544998,48.910000,48.470001,48.715000,45.599186,5938800
2015-03-10,48.209999,48.485001,48.125000,48.255001,45.168610,7096000
2015-03-11,48.189999,48.540001,47.590000,47.669998,44.621014,7484200
2015-03-12,47.750000,48.549999,47.689999,48.520000,45.416656,5809800
2015-03-13,48.520000,48.740002,47.650002,47.904999,44.840992,7396200
2015-03-16,48.099998,48.400002,47.965000,48.220001,45.135849,8497000
2015-03-17,48.070000,48.389999,47.755001,48.270000,45.182652,6408200
2015-03-18,48.270000,48.935001,47.805000,48.755001,45.636631,8855600
2015-03-19,48.904999,49.310001,48.605000,49.160000,46.015720,13536000
2015-03-20,51.314999,51.895000,50.625000,50.990002,47.728680,29779800
2015-03-23,50.775002,51.299999,50.599998,50.730000,47.485294,10471800
2015-03-24,50.525002,50.830002,50.299999,50.325001,47.106209,7598800
2015-03-25,50.500000,50.590000,49.470001,49.494999,46.329285,8133400
2015-03-26,49.169998,50.044998,48.834999,49.665001,46.488422,9479800
2015-03-27,49.560001,50.090000,49.560001,49.939999,46.745831,4403600
2015-03-30,50.615002,50.775002,50.270000,50.445000,47.218525,5435400
2015-03-31,50.439999,50.919998,50.145000,50.165001,46.956448,6309200
2015-04-01,50.000000,50.139999,49.169998,49.775002,46.591393,6605400
2015-04-02,50.020000,50.160000,49.695000,49.830002,46.642868,3840400
2015-04-06,49.375000,50.314999,49.275002,49.865002,46.675636,5027400
2015-04-07,49.865002,50.130001,49.735001,49.805000,46.619465,3993600
2015-04-08,50.000000,50.485001,49.860001,50.419998,47.195129,6522400
2015-04-09,50.500000,50.845001,50.299999,50.360001,47.138973,5301000
2015-04-10,50.459999,50.540001,49.965000,49.985001,46.787949,5918200
2015-04-13,49.985001,50.029999,49.529999,49.634998,46.460342,7313800
2015-04-14,49.529999,49.904999,49.349998,49.764999,46.582024,4770800
2015-04-15,50.314999,50.365002,49.865002,49.915001,46.722439,5716200
2015-04-16,49.744999,50.084999,49.700001,49.950001,46.755207,4104000
2015-04-17,49.584999,49.685001,49.070000,49.275002,46.123363,6049600
2015-04-20,49.540001,50.169998,49.509998,49.994999,46.797318,6208600
2015-04-21,50.380001,50.424999,49.860001,50.145000,46.937721,5125200
2015-04-22,50.150002,50.195000,49.645000,50.075001,46.872196,3905800
2015-04-23,49.889999,50.799999,49.724998,50.555000,47.321499,4668200
2015-04-24,50.230000,50.639999,50.105000,50.474998,47.246609,4334000
2015-04-27,50.634998,51.000000,50.384998,50.470001,47.241924,5158400
2015-04-28,50.400002,50.400002,49.595001,49.930000,46.736473,6031600
2015-04-29,49.764999,50.244999,49.630001,50.084999,46.881550,5395200
2015-04-30,49.875000,50.255001,49.230000,49.419998,46.259087,6497000
2015-05-01,49.939999,50.410000,49.705002,50.389999,47.167046,6683400
2015-05-04,50.500000,50.599998,50.240002,50.415001,47.190445,4557800
2015-05-05,50.215000,50.435001,50.130001,50.209999,46.998566,5104400
2015-05-06,50.134998,50.500000,49.840000,50.110001,46.904964,5396600
2015-05-07,50.224998,50.794998,50.009998,50.724998,47.480625,5526200
2015-05-08,51.145000,51.650002,51.145000,51.220001,47.943958,5534800
2015-05-11,51.209999,51.610001,51.044998,51.395000,48.107769,5339800
2015-05-12,50.990002,51.345001,50.799999,51.185001,47.911198,4676400
2015-05-13,51.345001,51.365002,50.895000,51.080002,47.812916,4508200
2015-05-14,51.470001,51.755001,51.154999,51.720001,48.411976,5433400
2015-05-15,51.825001,52.514999,51.685001,52.490002,49.132732,7865200
2015-05-18,52.555000,52.750000,52.209999,52.375000,49.025093,5045200
2015-05-19,52.310001,52.590000,52.174999,52.320000,48.973598,5971200
2015-05-20,52.459999,52.575001,52.105000,52.305000,48.959572,5399200
2015-05-21,52.435001,52.599998,52.119999,52.200001,48.861286,5455200
2015-05-22,52.605000,52.610001,52.020000,52.215000,48.875320,5654800
2015-05-26,52.215000,52.375000,51.590000,51.709999,48.402630,5691400
2015-05-27,51.740002,51.959999,51.154999,51.419998,48.131168,8896800
2015-05-28,51.115002,51.474998,50.755001,51.150002,48.009151,5781600
2015-05-29,51.150002,51.189999,50.520000,50.834999,47.713509,5562200
2015-06-01,50.884998,51.145000,50.724998,50.880001,47.755741,4944000
2015-06-02,50.900002,51.345001,50.750000,51.055000,47.919975,4974400
2015-06-03,51.145000,51.544998,50.884998,51.255001,48.107712,4766800
2015-06-04,51.029999,51.650002,50.810001,50.974998,47.844894,4467200
2015-06-05,50.750000,51.125000,50.564999,51.014999,47.882442,3791800
2015-06-08,50.799999,50.945000,50.689999,50.720001,47.605556,4314000
2015-06-09,50.744999,50.965000,50.389999,50.674999,47.563324,3476800
2015-06-10,50.915001,52.014999,50.830002,51.669998,48.497223,6270400
2015-06-11,52.544998,52.560001,51.735001,51.939999,48.750641,6178000
2015-06-12,51.775002,52.049999,51.605000,51.889999,48.703709,4133000
2015-06-15,51.549999,51.924999,51.365002,51.674999,48.501923,4902000
2015-06-16,51.740002,52.490002,51.720001,52.279999,49.069763,5034000
2015-06-17,52.369999,52.584999,52.040001,52.375000,49.158924,4072400
2015-06-18,52.525002,53.334999,52.505001,53.000000,49.745556,5690600
2015-06-19,53.014999,53.424999,52.970001,53.264999,49.994286,7285600
2015-06-22,53.430000,53.724998,53.325001,53.395000,50.116299,4186600
2015-06-23,53.599998,53.630001,53.410000,53.599998,50.308708,5934200
2015-06-24,53.599998,53.685001,53.020000,53.110001,49.848804,5056200
2015-06-25,53.404999,53.404999,52.334999,52.610001,49.379509,10811400
2015-06-26,54.185001,55.169998,54.185001,54.855000,51.486645,20287600
2015-06-29,54.634998,54.744999,53.830002,53.834999,50.529278,9005000
2015-06-30,54.424999,54.439999,53.900002,54.009998,50.693542,7531200
2015-07-01,54.474998,54.715000,54.294998,54.715000,51.355244,5924000
2015-07-02,54.955002,55.365002,54.544998,54.935001,51.561729,5900000
2015-07-06,54.544998,55.255001,54.505001,54.919998,51.547649,4991400
2015-07-07,55.040001,55.665001,54.529999,55.645000,52.228146,7207000
2015-07-08,55.110001,55.375000,54.500000,54.634998,51.280144,6733600
2015-07-09,55.119999,55.459999,54.595001,54.720001,51.359940,6168400
2015-07-10,55.264999,55.400002,54.500000,55.259998,51.866772,5159200
2015-07-13,55.619999,56.275002,55.400002,56.205002,52.753754,5047600
